time,wave_main,wave_second,wave_up,baseforce,acc_top,dis_5,dis_10,dis_17,dis_24,dis_32,dis_39,dis_47,dis_54,dis_62,dis_70,dis_78,dis_86,dis_95,dis_103,dis_112,dis_120,dis_128
1.26,-0.000817425,0.001101213,-0.016759202,101633.8464,-0.00430902,-2.45E-06,-4.77E-06,-7.18E-06,7.50E-06,6.50E-05,0.000161935,0.000293947,0.000405396,0.000503761,0.000568138,0.000586896,0.000577914,0.000541818,0.000510193,0.000493744,0.000489459,0.000490907
1.28,0.00272896,0.001926485,-0.023523597,111179.9731,-0.00014391,-2.28E-06,-3.41E-06,-5.14E-06,6.59E-06,5.58E-05,0.000144985,0.000274093,0.000388259,0.000493362,0.000565019,0.000590549,0.000586645,0.000551511,0.000517599,0.000496843,0.000489151,0.000488295
1.3,-0.001448322,0.002535505,-0.021950725,16703.7842,0.00613246,-1.53E-06,-1.80E-06,-2.49E-06,7.54E-06,4.96E-05,0.000130604,0.000254996,0.000370466,0.000482032,0.0005614,0.000594002,0.000595538,0.000562271,0.000526772,0.000501545,0.000489734,0.000485837
1.32,-0.007513732,0.001269422,-0.023318651,-106726.3901,0.00301394,5.77E-07,1.53E-06,1.92E-06,1.12E-05,4.74E-05,0.00012032,0.000238335,0.000353512,0.000470986,0.000558428,0.000598446,0.000605752,0.000575211,0.000538904,0.000509207,0.000492609,0.000484893
1.34,-0.003923027,-0.003288345,-0.033194627,-199798.1891,0.00349916,3.23E-06,6.37E-06,7.99E-06,1.71E-05,4.87E-05,0.000114088,0.000224373,0.000337601,0.00046011,0.000555795,0.000603627,0.00061707,0.000590056,0.000553737,0.000519722,0.000497782,0.000485514
1.36,-0.003669985,-0.001896339,-0.04724424,-282609.8072,0.0054511,5.89E-06,1.21E-05,1.55E-05,2.47E-05,5.31E-05,0.000111523,0.000213153,0.00032286,0.000449215,0.000553004,0.000609081,0.00062912,0.00060638,0.000570804,0.000532754,0.000505094,0.000487682
1.38,-0.004657597,-0.001017635,-0.046053832,-376868.8632,0.00701536,8.76E-06,1.86E-05,2.45E-05,3.43E-05,6.03E-05,0.000112627,0.000205166,0.000309999,0.000438732,0.000550103,0.000614841,0.000642052,0.000624304,0.000590151,0.000548448,0.000514915,0.000491991
1.4,-0.005099741,0.000199866,-0.036097499,-398199.1084,0.00207267,1.14E-05,2.51E-05,3.45E-05,4.54E-05,6.96E-05,0.000116674,0.000200155,0.000299092,0.000428538,0.000546555,0.000620282,0.000655355,0.000643308,0.000611169,0.00056627,0.00052697,0.000498456
1.42,0.001037566,0.000109957,-0.014786899,-389188.1453,0.00573861,1.31E-05,3.07E-05,4.42E-05,5.70E-05,8.00E-05,0.000122423,0.000197249,0.000289658,0.000418067,0.000541409,0.000624284,0.000667971,0.000662359,0.00063275,0.000585165,0.000540469,0.00050661
1.44,-0.001459416,-0.002109455,-0.013111888,-466019.7452,0.0130467,1.47E-05,3.59E-05,5.39E-05,6.95E-05,9.19E-05,0.000130125,0.000196932,0.000282564,0.00040823,0.000535273,0.00062721,0.000680243,0.000681841,0.000655239,0.000605523,0.00055606,0.000517425
